Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
1,OR-000001,01/20/2023,01/21/2023,Second Class,CUST-0045,Charlie Wilson,Home Office,United States,Chicago,Illinois,21741,Central,PROD-0080,Furniture,Bookcases,Corner Bookcase,106.4,1,0.09,12.09
2,OR-000002,01/01/2024,01/03/2024,First Class,CUST-0112,Alice Brown,Consumer,United States,New York,Florida,26712,South,PROD-0001,Furniture,Bookcases,Standard Bookcase,295.93,1,0.21,59.05
3,OR-000003,03/13/2023,03/15/2023,First Class,CUST-0083,Diana Miller,Consumer,United States,New York,Florida,27702,South,PROD-0028,Technology,Computers,Laptop,1164.5,6,0.19,157.49
4,OR-000004,01/25/2023,01/27/2023,Standard Class,CUST-0191,Diana Miller,Consumer,United States,Los Angeles,Florida,23481,South,PROD-0084,Furniture,Chairs,Executive Chair,758.63,4,0.18,135.76
5,OR-000005,12/12/2023,12/13/2023,First Class,CUST-0336,Hannah Lee,Consumer,United States,Chicago,Oregon,18661,West,PROD-0067,Office Supplies,Paper,Copy Paper,837.98,2,0.0,218.16
6,OR-000006,03/24/2023,03/31/2023,First Class,CUST-0308,Diana Miller,Home Office,United States,Los Angeles,Texas,75349,Central,PROD-0048,Technology,Accessories,Keyboard,1376.21,5,0.06,484.46
7,OR-000007,10/09/2023,10/12/2023,Standard Class,CUST-0256,Bob Johnson,Consumer,United States,New York,North Carolina,94041,South,PROD-0035,Office Supplies,Labels,Address Labels,303.74,1,0.29,60.47
8,OR-000008,12/08/2023,12/14/2023,Standard Class,CUST-0277,Bob Johnson,Consumer,United States,New York,Washington,97439,West,PROD-0092,Technology,Phones,Mobile Phone,328.12,4,0.0,93.41
9,OR-000009,03/02/2023,03/09/2023,Second Class,CUST-0315,John Smith,Corporate,United States,Los Angeles,Oregon,91713,West,PROD-0098,Technology,Computers,Tablet,44.19,1,0.0,13.92
10,OR-000010,08/27/2023,08/28/2023,First Class,CUST-0484,Edward Davis,Corporate,United States,Houston,North Carolina,28427,South,PROD-0011,Technology,Accessories,Keyboard,588.8,4,0.21,96.85
11,OR-000011,08/22/2023,08/28/2023,Second Class,CUST-0444,Charlie Wilson,Consumer,United States,Los Angeles,Florida,84477,South,PROD-0049,Technology,Copiers,Copier Machine,1625.04,9,0.2,212.02
12,OR-000012,02/04/2023,02/05/2023,Same Day,CUST-0119,Edward Davis,Corporate,United States,New York,Ohio,34545,Central,PROD-0055,Office Supplies,Binders,5-Ring Binder,409.0,2,0.25,125.49
13,OR-000013,05/25/2023,05/28/2023,First Class,CUST-0130,Charlie Wilson,Consumer,United States,Houston,Pennsylvania,85316,East,PROD-0054,Office Supplies,Labels,Address Labels,202.08,2,0.28,66.64
14,OR-000014,12/16/2023,12/18/2023,Same Day,CUST-0424,Fiona Garcia,Home Office,United States,Chicago,Texas,80358,Central,PROD-0023,Technology,Computers,Desktop,995.96,3,0.05,223.26
15,OR-000015,12/10/2023,12/11/2023,Same Day,CUST-0440,Jane Doe,Home Office,United States,New York,Ohio,77124,Central,PROD-0020,Technology,Phones,Office Phone,495.17,6,0.24,110.73
16,OR-000016,08/09/2023,08/11/2023,First Class,CUST-0499,Diana Miller,Home Office,United States,New York,North Carolina,63816,South,PROD-0033,Furniture,Furnishings,Product,211.55,3,0.29,30.99
17,OR-000017,10/11/2023,10/13/2023,Second Class,CUST-0353,Edward Davis,Consumer,United States,Los Angeles,Florida,73215,South,PROD-0075,Furniture,Tables,Dining Table,213.75,9,0.24,53.95
18,OR-000018,10/11/2023,10/14/2023,Standard Class,CUST-0424,George Martinez,Home Office,United States,Chicago,Texas,60128,Central,PROD-0076,Technology,Phones,Office Phone,1414.67,9,0.22,503.42
19,OR-000019,01/05/2023,01/11/2023,Same Day,CUST-0102,John Smith,Consumer,United States,Chicago,Oregon,37653,West,PROD-0051,Office Supplies,Paper,Sticky Notes,2404.94,6,0.1,535.66
20,OR-000020,11/30/2023,12/02/2023,Same Day,CUST-0062,Jane Doe,Corporate,United States,New York,Pennsylvania,96802,East,PROD-0009,Office Supplies,Binders,3-Ring Binder,1739.18,7,0.13,331.44
21,OR-000021,01/16/2023,01/21/2023,Second Class,CUST-0027,Charlie Wilson,Home Office,United States,Houston,Texas,14261,Central,PROD-0034,Office Supplies,Labels,Address Labels,1107.77,5,0.07,364.58
22,OR-000022,02/19/2023,02/21/2023,Standard Class,CUST-0376,Edward Davis,Corporate,United States,Los Angeles,North Carolina,92713,South,PROD-0028,Furniture,Tables,Conference Table,1513.71,6,0.16,577.52
23,OR-000023,08/07/2023,08/14/2023,Same Day,CUST-0146,Fiona Garcia,Corporate,United States,Chicago,California,57710,West,PROD-0097,Office Supplies,Labels,Shipping Labels,232.75,3,0.29,57.43
24,OR-000024,01/31/2023,02/06/2023,Second Class,CUST-0059,Jane Doe,Corporate,United States,Los Angeles,New York,71911,East,PROD-0045,Furniture,Bookcases,Standard Bookcase,160.67,8,0.04,37.25
25,OR-000025,10/30/2023,11/03/2023,First Class,CUST-0153,Bob Johnson,Home Office,United States,New York,Washington,36889,West,PROD-0072,Furniture,Furnishings,Product,1008.05,5,0.04,153.2
26,OR-000026,07/04/2023,07/11/2023,Same Day,CUST-0145,Edward Davis,Home Office,United States,Houston,California,72571,West,PROD-0023,Office Supplies,Storage,Storage Bin,2248.82,8,0.28,578.25
27,OR-000027,01/10/2023,01/13/2023,First Class,CUST-0163,Charlie Wilson,Home Office,United States,New York,Oregon,13807,West,PROD-0053,Furniture,Tables,Dining Table,1774.19,8,0.02,414.76
28,OR-000028,05/23/2023,05/25/2023,First Class,CUST-0325,Hannah Lee,Corporate,United States,New York,Ohio,33119,Central,PROD-0042,Technology,Phones,Office Phone,180.63,1,0.3,45.66
29,OR-000029,07/23/2023,07/24/2023,Same Day,CUST-0222,George Martinez,Corporate,United States,Houston,Florida,66090,South,PROD-0036,Office Supplies,Binders,5-Ring Binder,1538.92,4,0.23,159.91
30,OR-000030,03/01/2023,03/05/2023,Same Day,CUST-0279,Charlie Wilson,Corporate,United States,Los Angeles,California,61921,West,PROD-0083,Office Supplies,Labels,Shipping Labels,1342.1,7,0.14,203.48
31,OR-000031,02/01/2023,02/02/2023,Standard Class,CUST-0027,Jane Doe,Corporate,United States,Los Angeles,North Carolina,40015,South,PROD-0035,Technology,Copiers,Copier Machine,1328.03,4,0.06,399.13
32,OR-000032,09/25/2023,09/26/2023,Standard Class,CUST-0334,Hannah Lee,Corporate,United States,New York,Illinois,44971,Central,PROD-0077,Office Supplies,Paper,Notebook,3317.77,7,0.02,703.48
33,OR-000033,06/07/2023,06/14/2023,Second Class,CUST-0341,Diana Miller,Consumer,United States,Chicago,Georgia,68683,South,PROD-0091,Office Supplies,Paper,Notebook,87.04,1,0.18,20.37
34,OR-000034,08/11/2023,08/18/2023,Second Class,CUST-0216,Bob Johnson,Corporate,United States,Los Angeles,Massachusetts,97678,East,PROD-0046,Technology,Copiers,Copier Machine,146.73,8,0.23,16.13
35,OR-000035,04/06/2023,04/07/2023,Same Day,CUST-0209,Edward Davis,Home Office,United States,Chicago,Illinois,80052,Central,PROD-0082,Furniture,Tables,Conference Table,2012.83,9,0.11,634.27
36,OR-000036,09/30/2023,10/06/2023,First Class,CUST-0199,Charlie Wilson,Consumer,United States,Chicago,Illinois,51505,Central,PROD-0069,Technology,Accessories,Mouse,1917.69,5,0.08,678.68
37,OR-000037,06/19/2023,06/22/2023,Standard Class,CUST-0490,Alice Brown,Consumer,United States,Chicago,Georgia,72440,South,PROD-0091,Office Supplies,Binders,5-Ring Binder,75.53,1,0.05,9.04
38,OR-000038,02/22/2023,02/26/2023,First Class,CUST-0077,Charlie Wilson,Home Office,United States,Chicago,Georgia,82498,South,PROD-0048,Office Supplies,Storage,File Box,899.78,5,0.29,295.92
39,OR-000039,08/05/2023,08/12/2023,Same Day,CUST-0059,Bob Johnson,Corporate,United States,New York,Illinois,15915,Central,PROD-0004,Furniture,Bookcases,Standard Bookcase,3838.35,9,0.1,851.42
40,OR-000040,07/16/2023,07/18/2023,Standard Class,CUST-0245,Charlie Wilson,Home Office,United States,Chicago,New York,13398,East,PROD-0083,Technology,Phones,Office Phone,3503.29,9,0.18,1229.31
