Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
1,OR-000001,07/28/2023,07/31/2023,Second Class,CUST-0361,George Martinez,Consumer,United States,Chicago,California,90732,West,PROD-0036,Technology,Computers,Tablet,350.37,1,0.21,80.79
2,OR-000002,09/03/2023,09/06/2023,Same Day,CUST-0001,Hannah Lee,Home Office,United States,New York,Texas,87420,Central,PROD-0050,Technology,Phones,Mobile Phone,804.69,3,0.29,316.4
3,OR-000003,04/27/2023,04/29/2023,Second Class,CUST-0378,Bob Johnson,Consumer,United States,Chicago,Oregon,17363,West,PROD-0041,Technology,Accessories,Webcam,380.43,1,0.07,75.25
4,OR-000004,04/27/2023,05/02/2023,First Class,CUST-0306,John Smith,Corporate,United States,Los Angeles,California,40298,West,PROD-0042,Furniture,Tables,Conference Table,290.68,4,0.12,74.85
5,OR-000005,04/07/2023,04/09/2023,Standard Class,CUST-0127,Bob Johnson,Consumer,United States,New York,Massachusetts,49569,East,PROD-0009,Technology,Computers,Desktop,1662.7,9,0.13,237.84
6,OR-000006,12/23/2023,12/25/2023,Standard Class,CUST-0280,Fiona Garcia,Corporate,United States,Los Angeles,Massachusetts,72091,East,PROD-0044,Technology,Computers,Desktop,184.14,3,0.07,20.16
7,OR-000007,10/09/2023,10/11/2023,Same Day,CUST-0293,John Smith,Corporate,United States,Los Angeles,Illinois,52396,Central,PROD-0042,Furniture,Chairs,Conference Chair,1423.23,4,0.25,179.9
8,OR-000008,07/16/2023,07/20/2023,Same Day,CUST-0342,Alice Brown,Corporate,United States,New York,Texas,18904,Central,PROD-0061,Furniture,Tables,Coffee Table,974.92,10,0.19,336.29
9,OR-000009,08/07/2023,08/12/2023,Standard Class,CUST-0249,Alice Brown,Home Office,United States,Los Angeles,Oregon,85287,West,PROD-0068,Technology,Accessories,Webcam,984.17,3,0.07,309.17
10,OR-000010,01/11/2023,01/13/2023,Standard Class,CUST-0162,Diana Miller,Consumer,United States,Los Angeles,Illinois,27329,Central,PROD-0001,Office Supplies,Storage,File Box,792.11,3,0.25,291.43
